0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:41 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:43 +0700] "GET /BookStore/cart?c=th&ms=S03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:43 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:44 +0700] "GET /BookStore/cart?c=th&ms=S02 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:44 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:45 +0700] "GET /BookStore/cart?c=th&ms=S01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:45 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:46 +0700] "GET /BookStore/cart?c=th&ms=S06 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:47 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:48 +0700] "GET /BookStore/cart?c=th&ms=S05 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:48 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:50 +0700] "GET /BookStore/cart?c=th&ms=S04 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:50 +0700] "GET /BookStore/home HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:51 +0700] "GET /BookStore/listcart HTTP/1.1" 200 11022
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:56 +0700] "POST /BookStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:05:56 +0700] "GET /BookStore/listcart HTTP/1.1" 200 8685
0:0:0:0:0:0:0:1 - - [17/Nov/2020:20:06:03 +0700] "GET /BookStore/pay?userID=QG7Z5HCBn0 HTTP/1.1" 200 2954
