127.0.0.1 - - [20/Nov/2020:01:29:37 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:45 +0700] "GET /BookStore/home HTTP/1.1" 200 9327
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:45 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:49 +0700] "GET /BookStore/category?ma=L01 HTTP/1.1" 200 7244
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:52 +0700] "GET /BookStore/category?ma=L02 HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:53 +0700] "GET /BookStore/category?ma=L03 HTTP/1.1" 200 7115
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:55 +0700] "GET /BookStore/category?ma=L04 HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:56 +0700] "GET /BookStore/category?ma=L05 HTTP/1.1" 200 7117
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:56 +0700] "GET /BookStore/photo/sach7.jpg HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:56 +0700] "GET /BookStore/photo/anh9.jpg HTTP/1.1" 200 25188
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:57 +0700] "GET /BookStore/category?ma=L06 HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:29:59 +0700] "GET /BookStore/category?ma=L07 HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:30:00 +0700] "GET /BookStore/category?ma=L08 HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:30:01 +0700] "GET /BookStore/category?ma=L09 HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [20/Nov/2020:01:30:03 +0700] "GET /BookStore/category?ma=L04 HTTP/1.1" 200 4406
